##### Convolution | rows=205 cols=9 #####
Table de convolution formelle |  |  |  |  |  |  |  | 
Chaque terme vaut c₁·k^e₁ + c₂·k^e₂. Cette représentation encode les additions et soustractions sans figer k. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  | 
TERMES DES SUITES |  |  |  |  |  |  |  | 
Rapport | Suite | Ordre | Coeff 1 | Exposant 1 | Coeff 2 | Exposant 2 | Valeur | Expression formelle
1/11 | B | 3 | 1 | 3 | 0 | 0 | 1331 | k^3
1/11 | B | 4 | 1 | 4 | 0 | 0 | 14641 | k^4
1/11 | B | 5 | 1 | 5 | 0 | 0 | 161051 | k^5
1/11 | B | 7 | 1 | 7 | 0 | 0 | 19487171 | k^7
1/11 | B | 8 | 1 | 8 | 0 | 0 | 214358881 | k^8
1/11 | B | 9 | 1 | 9 | 0 | 0 | 2357947691 | k^9
1/11 | B | 10 | 1 | 10 | -1 | 8 | 25723065720 | k^10 - k^8
1/11 | B | 11 | 1 | 11 | -1 | 9 | 282953722920 | k^11 - k^9
1/12 | A | 1 | 1 | 1 | 0 | 0 | 12 | k^1
1/12 | A | 2 | 1 | 2 | 0 | 0 | 144 | k^2
1/12 | A | 3 | 1 | 3 | 0 | 0 | 1728 | k^3
1/12 | A | 4 | 1 | 4 | 0 | 0 | 20736 | k^4
1/12 | A | 5 | 1 | 5 | 0 | 0 | 248832 | k^5
1/12 | A | 6 | 1 | 6 | 0 | 0 | 2985984 | k^6
1/12 | A | 7 | 1 | 7 | 0 | 0 | 35831808 | k^7
1/12 | A | 8 | 1 | 8 | 0 | 0 | 429981696 | k^8
1/12 | A | 9 | 1 | 9 | -1 | 7 | 5123948544 | k^9 - k^7
1/12 | A | 10 | 1 | 10 | -1 | 8 | 61487382528 | k^10 - k^8
1/12 | B | 1 | 1 | 1 | 0 | 0 | 12 | k^1
1/12 | B | 2 | 1 | 2 | 0 | 0 | 144 | k^2
1/12 | B | 3 | 1 | 3 | 0 | 0 | 1728 | k^3
1/12 | B | 4 | 1 | 4 | 0 | 0 | 20736 | k^4
1/12 | B | 5 | 1 | 5 | 0 | 0 | 248832 | k^5
1/12 | B | 7 | 1 | 7 | 0 | 0 | 35831808 | k^7
1/12 | B | 8 | 1 | 8 | 0 | 0 | 429981696 | k^8
1/12 | B | 9 | 1 | 9 | 0 | 0 | 5159780352 | k^9
1/12 | B | 10 | 1 | 10 | -1 | 8 | 61487382528 | k^10 - k^8
1/12 | B | 11 | 1 | 11 | -1 | 9 | 737848590336 | k^11 - k^9
